customer_id,email,country,created_at
1.0,user1@example.com,DE,2024-01-04 23:17:00
2.0,user2@example.com,PL,2024-01-29 04:47:00
3.0,user3@example.com,DE,2024-03-27 23:57:00
4.0,user4@example.com,CZ,2024-01-12 18:27:00
5.0,user5@example.com,US,2024-01-04 02:13:00
6.0,user6@example.com,PL,2024-03-05 19:01:00
7.0,user7@example.com,CZ,2024-01-26 22:41:00
8.0,user8@example.com,CZ,2024-02-23 07:28:00
9.0,user9@example.com,SE,2024-02-05 00:48:00
10.0,user10@example.com,UA,2024-03-30 13:21:00
11.0,user11@example.com,FR,2024-01-20 06:48:00
12.0,user12@example.com,IT,2024-01-14 02:24:00
13.0,user13@example.com,DE,2024-02-15 11:38:00
14.0,user14@example.com,FR,2024-01-06 23:29:00
15.0,user15@example.com,CZ,2024-01-16 12:05:00
16.0,user16@example.com,CZ,2024-02-07 20:39:00
17.0,user17@example.com,IT,2024-03-14 06:45:00
18.0,user18@example.com,DE,2024-01-06 21:14:00
19.0,user19@example.com,FR,2024-01-11 07:55:00
20.0,user20@example.com,DE,2024-02-18 08:29:00
21.0,user21@example.com,IT,2024-01-21 11:22:00
22.0,user22@example.com,PL,2024-03-26 08:44:00
23.0,user23@example.com,DE,2024-03-18 20:10:00
24.0,user24@example.com,CZ,2024-02-01 05:29:00
25.0,user25@example.com,ES,2024-02-04 20:44:00
26.0,user26@example.com,CZ,2024-01-29 21:20:00
27.0,user27@example.com,US,2024-01-30 01:51:00
28.0,user28@example.com,IT,2024-02-21 08:04:00
29.0,user29@example.com,PL,2024-03-13 22:20:00
30.0,user30@example.com,PL,2024-03-24 15:25:00
31.0,user31@example.com,NL,2024-01-19 08:08:00
32.0,user32@example.com,PL,2024-03-12 17:16:00
33.0,user33@example.com,SE,2024-02-24 18:25:00
34.0,user34@example.com,IT,2024-01-29 04:32:00
35.0,user35@example.com,NL,2024-01-12 01:55:00
36.0,user36@example.com,DE,2024-01-20 20:10:00
37.0,user37@example.com,ES,2024-03-17 02:24:00
38.0,user38@example.com,ES,2024-03-17 14:33:00
39.0,user39@example.com,FR,2024-03-11 00:43:00
40.0,user40@example.com,DE,2024-03-28 17:48:00
41.0,user41@example.com,FR,2024-03-23 10:07:00
42.0,user42@example.com,FR,2024-02-25 05:29:00
43.0,user43@example.com,US,2024-02-03 16:48:00
44.0,user44@example.com,UA,2024-03-05 03:55:00
45.0,user45@example.com,FR,2024-03-22 16:38:00
46.0,user46@example.com,PL,2024-01-20 11:48:00
47.0,user47@example.com,UA,2024-03-10 16:58:00
48.0,user48@example.com,US,2024-03-17 10:31:00
49.0,user49@example.com,US,2024-01-15 11:56:00
50.0,user50@example.com,FR,2024-01-31 01:15:00
51.0,user51@example.com,SE,2024-01-11 02:46:00
52.0,user52@example.com,NL,2024-01-09 17:49:00
53.0,user53@example.com,UA,2024-01-17 21:30:00
54.0,user54@example.com,CZ,2024-01-22 08:33:00
55.0,user55@example.com,SE,2024-02-24 06:59:00
56.0,user56@example.com,CZ,2024-03-29 06:45:00
57.0,user57@example.com,FR,2024-02-21 21:41:00
58.0,user58@example.com,IT,2024-02-26 16:28:00
59.0,user59@example.com,DE,2024-02-01 07:04:00
60.0,user60@example.com,IT,2024-01-03 18:35:00
61.0,user61@example.com,PL,2024-03-16 07:00:00
62.0,user62@example.com,DE,2024-03-31 20:03:00
63.0,user63@example.com,PL,2024-01-09 01:55:00
64.0,user64@example.com,IT,2024-01-10 16:15:00
65.0,user65@example.com,FR,2024-03-26 15:13:00
66.0,user66@example.com,CZ,2024-01-17 23:59:00
67.0,user67@example.com,SE,2024-03-14 15:15:00
68.0,user68@example.com,NL,2024-02-22 06:06:00
69.0,user69@example.com,DE,2024-03-25 13:22:00
70.0,user70@example.com,ES,2024-02-22 14:55:00
71.0,user71@example.com,US,2024-03-27 20:41:00
72.0,user72@example.com,DE,2024-01-08 12:46:00
73.0,user73@example.com,IT,2024-01-14 07:12:00
74.0,user74@example.com,PL,2024-03-09 14:08:00
75.0,user75@example.com,ES,2024-01-24 08:29:00
76.0,user76@example.com,PL,2024-01-10 14:51:00
77.0,user77@example.com,CZ,2024-01-13 01:41:00
78.0,user78@example.com,CZ,2024-01-02 02:59:00
79.0,user79@example.com,PL,2024-01-22 13:31:00
80.0,user80@example.com,NL,2024-01-28 12:57:00
81.0,user81@example.com,US,2024-01-22 12:00:00
82.0,user82@example.com,ES,2024-02-03 14:18:00
83.0,user83@example.com,ES,2024-03-30 23:50:00
84.0,user84@example.com,CZ,2024-03-25 22:31:00
85.0,user85@example.com,UA,2024-01-25 09:13:00
86.0,user86@example.com,US,2024-03-15 23:34:00
87.0,user87@example.com,US,2024-02-10 01:03:00
88.0,user88@example.com,SE,2024-03-02 16:58:00
89.0,user89@example.com,CZ,2024-01-21 01:32:00
90.0,user90@example.com,DE,2024-01-24 02:38:00
91.0,user91@example.com,DE,2024-03-27 07:25:00
92.0,user92@example.com,DE,2024-03-13 07:37:00
93.0,user93@example.com,SE,2024-01-06 19:05:00
94.0,user94@example.com,ES,2024-03-25 18:36:00
